company_name,position_name,position_description,skills
Deloitte,Accessibility Spezialist - Inclusive Design & Digital Accessibility (m/w/d),"DeloitteDeloitteAccessibility Spezialist - Inclusive Design & Digital Accessibility (m/w/d)Berlin, Düsseldorf, Hamburg, MünchenHome-OfficeConfluenceConsultingFigmaHTMLJIRAMiro +2TopJetzt bewerbenDeloitte bietet führende Prüfungs- und Beratungsleistungen in Audit & Assurance, Tax & Legal, Consulting und Advisory – für nahezu 90 % der Fortune Global 500® und zahlreiche private Unternehmen. Wir liefern innovative Denkansätze, lösen komplexe Herausforderungen und fördern nachhaltiges Wachstum. Mit rund 470.000 Mitarbeitenden weltweit eröffnen wir hervorragende Karrierechancen – getragen von einem starken „Wir“ und einer Vielfalt an Perspektiven und Fähigkeiten.Du willst im Bereich Consulting – Experience Design & Digital Products innovative und kreative Ideen zum Leben erwecken? Unser Team konzipiert, designt und entwickelt digitale Produkte mit modernsten Technologien und klarem Fokus auf optimale User Experience. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als Accessibility Spezialist (m/w/d).Standorte: Berlin, Düsseldorf, Hamburg und München.Dein Impact:Als Accessibility Spezialist (m/w/d) sorgst du dafür, dass digitale Produkte von Anfang an inklusiv gedacht und umgesetzt werden. Du arbeitest eng mit UX-, UI- und Entwicklungsteams zusammen, um Accessibility-Standards strategisch, konzeptionell und technisch zu verankern.Accessibility als strategischer Faktor: Du integrierst Barrierefreiheit von Anfang an in Design- und Entwicklungsprozesse und machst inklusive Erlebnisse zum Bestandteil der Marken- und Produktstrategie unserer Kund:innen.Prozessgestaltung & Innovation: Du entwickelst Guidelines, Checklisten und QA-Prozesse, etablierst nachhaltige Accessibility-Standards und treibst die Weiterentwicklung inklusiver Designsysteme voran.Beratung & Schulung: Du berätst Kund:innen und interne Teams zu gesetzlichen Anforderungen (z. B. WCAG 2.2, EN 301 549, BITV 2.0) und führst Workshops sowie Trainings zum Thema Barrierefreiheit durch.Testing & Evaluation: Du prüfst digitale Produkte auf Barrierefreiheit, führst manuelle und automatisierte Tests durch und arbeitest mit Screenreadern (z. B. NVDA, VoiceOver, JAWS) sowie Tools wie Stark oder Axe.Teamspirit & Zusammenarbeit: Du bringst dich aktiv in agile, internationale Projektteams ein, sensibilisierst Kolleg:innen für Accessibility und arbeitest eng mit UX-, UI-Design und Entwicklung zusammen.Dein Skillset:Mindestens 3 Jahre Berufserfahrung in Digital Accessibility, Inclusive Design oder",Confluence;Consulting;Figma;HTML;JIRA;Miro;Agile
secida,(Pflicht-)Praktikum im Bereich IT-Security (Ab 01.07.2026),"Deine Aufgaben: Wenn es projektbedingt passt, versuchen wir Dir im Rahmen Deines Praktikums ein kleines „eigenes“ Projekt zu geben, ansonsten können folgende Aufgaben auf Dich zu kommen: Unterstützung bei Kundenprojekten v.a. in der KRITIS zum Beispiel: Szenarien testen Sicherheit und Infrastruktur überprüfen und verbessern Technologien vergleichen Handlungsempfehlungen erarbeiten Technische Dokus verfassen Je nach Projekt unterscheiden sich die Technologien und Aufgaben, vermehrt wirst Du mit den folgenden Tools in Kontakt kommen: EntraID, Microsoft Visio, PowerShell, Jira Teams, Outlook, Excel, PowerPoint OpenAI, Copilot",ActiveDirectory;IAM Identity & Access Management;IT-Security;JIRA;Microsoft Azure;PowerShell;Azure Active Directory;OpenAI;Microsoft Visio
quo connect,Junior Consultant Operations (m/w/d),"Wir suchen: Wirtschaftsingenieure, Wirtschaftsinformatiker, Wirtschaftswissenschaftler, Ingenieure und Naturwissenschaftler (m/w/d) – bundesweit mit Einsatzschwerpunkt Berlin | Ihr Profil: Überzeugende Persönlichkeit mit Gestaltungswillen, Kommunikationstalent und Teamgeist Begeisterung für produktionswirtschaftliche Aufgaben in einem technischen Umfeld Analytisches und konzeptionelles Denkvermögen gepaart mit IT-Affinität Masterstudium in einem MINT-Studienfach, Wirtschaftswissenschaften oder einen vergleichbaren Universitätsabschluss Idealerweise Praxiserfahrung Verhandlungssichere Deutschkenntnisse",Consultant;Consulting;Digitalisierung
Bundesdruckerei,DevOps Engineer – Schwerpunkt Microsoft Intune (m/w/d),"Ihr Aufgabenbereich: Planung, Einführung und Verwaltung von Microsoft Intune zur Geräte- und Applikationsverwaltung in Unternehmensumgebungen Implementierung und Verwaltung vom Microsoft Deployment Toolkit und dem Windows Deployment Services (WDS) Optimierung der Bandbreitennutzung und Reduzierung der Netzwerkbelastung durch eine zentrale Verwaltung und Verteilung von Updates und Software-Paketen Implementierung & Betrieb von Sicherheits- und Zugriffskontrollen durch Einsatz von Microsoft Defender oder Microsoft Entra Unterstützung von Remote-Support-Lösungen der End-User über Intune und andere Remote-Tools zur Behebung von Problemen mit Windows 11 Geräten, Client-Endgeräten etc. Konfiguration, Pflege & Verwaltung von Internet Information Services zur Bereitstellung von Webdiensten für Anwendungen | Ihr Profil: Abgeschlossenes Studium der Informatik oder vergleichbares Fachgebiet bzw. abgeschlossene IT-relevante Ausbildung Mehrjährige Erfahrung in der Verwaltung und Implementierung von Microsoft Intune und verwandten Microsoft-Technologien in mittleren bis großen Unternehmensumgebungen Erfahrung in der Bereitstellung und Verwaltung von Windows 11 und anderen Client-Endgeräten Fundierte Kenntnisse in der Geräte- und Sicherheitsverwaltung sowie der Betriebssysteminstallation mit dem MTD und dem WDS zur Optimierung der Softwarebereitstellung Praxiswissen in der Verwaltung und Konfiguration von IIS, Microsoft Defender for Endpoint und Microsoft Entra Vertrautheit mit Sicherheitslösungen wie Microsoft Defender for Endpoint zur Sicherung der Geräte und Netzwerke Teamfähigkeit, starke Lösungskompetenz sowie Kommunikationsfähigkeit auf Deutsch und Englisch (mind. B2-Niveau)",DevOps;Internet Information Services (IIS);Support;Virtualisierung (allgemein);Windows (Desktop)
Rücker + Schindele,Fach­pla­ner IT-Sys­te­me/In­fra­struk­tur (m/w/d),"Dein Profil:: Abgeschlossenes Studium der Informatik, Elektrotechnik, Nachrichtentechnik oder vergleichbar; alternativ Techniker/Meister mit Schwerpunkt IT-Systeme Fundierte Kenntnisse in der Planung von IT-Infrastrukturen (Server, Netzwerke, Virtualisierung, Storage) Erfahrung im Umgang mit Normen, Richtlinien und Anforderungen an hochverfügbare IT-Systeme Idealerweise Kenntnisse in IT-Sicherheit (z.B. BSI, ISO 27001) Strukturierte, konzeptionelle Arbeitsweise sowie technisches Verständnis für komplexe Systemlandschaften Kommunikationsstärke und Freude an der Zusammenarbeit mit Kunden und interdisziplinären Projektteams",Dokumentation;ISO 27001;IT-Security;Netzwerktechnik;Storage;Teamwork
Capgemini,Senior SAP ALM Consultant (w/m/d),"Dein Profil: Erfolgreich abgeschlossenes Studium oder vergleichbare Qualifikation Erfahrung in einer beratungsnahen Rolle, mehrjähriges SAP Know-How, idealerweise im SAP-Technologie Umfeld, sowie im Umgang mit etablierten ALM-Tools wie Signavio, SAP Cloud ALM, Jira oder ServiceNOW Fundiertes Verständnis des Ablaufs von SAP-Transformationsprojekten sowie methodische Erfahrung in den Bereichen Test- und/oder Release-Management Teamgeist, ausgeprägte technische Affinität, Präsentationsfreude sowie die Fähigkeit komplexe Sachverhalte verständlich zu vermitteln Reisebereitschaft sowie sehr gute Deutsch- und Englischkenntnisse | Was du bei uns schätzen wirst: Wir legen großen Wert auf die Vereinbarkeit von Arbeit und Privatleben. Deshalb hast du bei uns die Möglichkeit, hybrid aus dem Office, von zu Hause oder an anderen Capgemini Standorten in Deutschland zu arbeiten. Gleichzeitig bietet Capgemini dir flexible Arbeitszeitmodelle. Wir bieten dir vielfältige Möglichkeiten zur Weiterentwicklung: Unser Karrieremodell ermöglicht es dir, deine Karriere so zu lenken, wie es für dich am besten ist und unsere Leadership Programme unterstützen dich dabei. Mit zahlreichen Angeboten auf unserer Lernplattform hast du zudem jederzeit die Möglichkeit, deine Skills auszubauen oder dir neue anzueignen. Unsere Communitys: Wir bieten dir aktive Mitarbeiternetzwerke, in denen du dich sowohl fachlich als auch persönlich mit Kolleg*innen aus aller Welt austauschen kannst. Zudem fördern unsere Communitys Vielfalt, Diversität und Inklusion am Arbeitsplatz.",ALM;Artificial Intelligence (AI);Cloud Computing;Consultant;Consulting;JIRA;SAP
BROCKHAUS AG,Senior IT-Consultant - Java (w/m/d),"BROCKHAUS AGBROCKHAUS AGSenior IT-Consultant - Java (w/m/d)Berlin, Dortmund, Düsseldorf, Hannover, Köln, Lünen +1Artificial Intelligence (AI)CI/CD (Continuous Integration/Delivery)ConsultingJavan8nProjektmanagement +2TopJetzt bewerbenDu wünschst dir die Zuverlässigkeit eines Konzerns und die Agilität eines Start-ups? Findest du bei uns!Seit über 35 Jahren versorgen wir unsere Kunden mit verlässlicher Individualsoftware. Wo wir nicht gut drin sind: Eintönigkeit. Unsere Projekte sind so bunt wie unser Team. Gemeinsam und crossfunktional nachzudenken, macht uns unschlagbar. Für Upgrades sorgen unsere passgenauen Academy-Angebote.Bei uns kannst du in Projekten unsere Kunden glücklich machen und im Anschluss auch mal beim Pen-&-Paper-Abenteuer die Welt retten oder im eSport-Team Meisterleistungen vollbringen. Hier heißt es, gemeinsam anpacken, lachen und manchmal auch schwitzen, sei es z. B. beim Bouldern, bei Spendenmärschen, mit unserer Fußballmannschaft, beim Segeln oder bei Tauchgängen.Und dein Arbeitsplatz? Remote, beim Kunden oder irgendwo dazwischen? Wir sind flexibel, denn wir wissen: Die besten Ergebnisse entstehen da, wo man sich am wohlsten fühlt.Passt? Dann melde dich bei unserem Recruiting-Team für ein entspanntes Gespräch. Wir freuen uns auf dich!DAS ERWARTET DICHAls Senior IT-Consultant unterstützt du unsere Kunden in vielfacher Weise in der Entwicklung komplexer Java-Softwarelösungen im Cloud-Umfeld.Sowohl bei Cloud-Native Themen, als auch bei den neuesten Trends rund um den Softwarebetrieb in der Cloud hältst du dich auf dem Laufenden und setzt diese entsprechend im Projekt um.Du stehst im engen Austausch mit crossfunktionalen Teams und setzt DevOps- sowie Clean-Code-Prinzipien routiniert ein.Für den Aufbau und Betrieb sowie die Optimierung von Applikationen in unserem Kundenumfeld bist du maßgeblich verantwortlich.Sehr oft bist du der Impulsgeber in bestehenden Teams und agierst als Coach für die Projektmitglieder.Du begeisterst dich für das Thema (Gen-)AI und gestaltest dank deiner Erfahrung den operativen Einsatz beim Kunden mit.DAS BRINGST DU MITFür diese Position setzen wir mindestens fünf Jahre Erfahrung als Entwickler*in mit Java-Frameworks wie Spring bzw. Spring Boot voraus.Du hast in deiner Berufserfahrung schon große Enterprise-Systeme modernisiert und dich sicher in ihnen bewegt. Idealerweise konntest du in diesem Schritt die Prozesslandschaft automatisieren (mit Camunda o. Ä.).Du setzt in deiner täglichen Arbeit Gen-AI-Tools (z. B.",Artificial Intelligence (AI);Consulting;Java;n8n;Projektmanagement;DevOps;Camunda
Deichmann,(Senior) Network Engineer (m/w/d),"Aufgaben:: Als Teil des Network Teams bist du verantwortlich für die Installation, Konfiguration und Administration der hochverfügbaren und sicheren Netzwerk-Infrastrukturen der Deichmann Gruppe. Du entwickelst und betreibst moderne Technologien und Lösungen auf Basis von CISCO und Infoblox. Du managst die kontinuierliche Weiterentwicklung und Überwachung der Systeme und die Abstimmung von Projektanforderungen mit den Fachabteilungen. Du bist zuständig für die CISCO ACI Umgebung im eigens von Deichmann betriebenen Rechenzentrum. Du nimmst gerne die Rolle des Innovators bei der Einführung moderner Technologien ein. | Profil:: Du besitzt eine abgeschlossene IT orientierte oder vergleichbare technische Ausbildung sowie langjährige Erfahrung in den Bereichen LAN, WAN, WLAN und in der Bereitstellung komplexer Network Services. Du bringst mehrjährige Erfahrung mit CISCO basierten Netzwerk-Infrastrukturen und einschlägige Zertifizierungen mit. Sehr gute Teamfähigkeit und eine ausgeprägte Kunden- sowie Serviceorientierung kennzeichnen Deine Arbeitsweise. Eine analytische und strukturierte Vorgehensweise sowie Erfahrungen in der Durchführung von Projekten zeichnen Dich aus. Du informierst dich kontinuierlich über neue Technologien und denkst zukunftsorientiert. Deine Deutsch- und Englischkenntnisse sind gut.",Systemadministration;WLAN
attempto,(Senior) Java Developer (m/w/d),"Ihre Aufgaben: Als Java-Softwareentwickler meistern Sie herausfordernde Aufgaben in innovativen Projekten. Dabei erstreckt sich Ihre Tätigkeit über den gesamten Lebenszyklus: Anforderungsaufnahme, Architektur, Entwicklung, Test, Dokumentation, Wartung und Support. Als Teil eines agilen Teams, bereitet es Ihnen Freude, Erfahrungen und Neuigkeiten über aktuelle IT-Trends (Technologien/Sprachen) mit den Kollegen auszutauschen. Kunden und Kollegen stehen Sie als versierter Berater für Software- und Architektur-Fragen zur Verfügung und überzeugen dabei durch ihr souveränes Auftreten. Zur Sicherung der Qualitätsansprüche greifen Sie auf Technologien und Vorgehensweisen wie „Clean Code“, Code-Reviews und -Refactorings, statischer Code-Analyse sowie Testautomatisierung zurück. | Ihr Profil: Fundierte Kenntnisse in mehreren der folgenden Bereiche und Technologien: Aktuelle Java-Versionen und -Frameworks (Spring / Spring Boot) Webservices (REST, OpenAPI) Datenbanken (relational/SQL und NoSQL) Werkzeuge (Eclipse/IntelliJ, Git, Gradle, Maven, Jira) Test, CI/CD (JUnit, Jenkins, Github Actions) Containerisierung (Docker / Kubernetes) Cloud-Technologien (AWS, Azure, OpenShift) Kenntnisse aktueller Frontend-Technologien ergänzen ihre Java Expertise. Sie verfügen über ausgeprägte konzeptionelle und analytische Fähigkeiten, eine selbstständige und lösungsorientierte Arbeitsweise sowie über ein hohes Maß an Qualitätsbewusstsein. Sie sind engagiert und interessieren sich für neue Technologien und IT-Trends. Zuverlässigkeit und gute Kommunikationsfähigkeit sowie kundenorientiertes Denken und Handeln zeichnen Sie aus.",Ant/Maven;Consulting;Datenbanken;Developer;Java;OpenAPI;SQL;Microsoft Azure;Docker;Kubernetes;OpenShift;Jenkins;JIRA;JUnit
EY Deutschland,Berater Regulatory Monitoring Service - Cyber Security (w/m/d),"Deine Aufgaben: Du möchtest an der Schnittstelle von Technologie und Regulatorik arbeiten und Unternehmen dabei helfen, neue Anforderungen im Bereich Cybersecurity frühzeitig zu erkennen und umzusetzen? Wir suchen Unterstützung für unseren Cyber Regulatory Intelligence Service, der regulatorische Entwicklungen laufend weltweit beobachtet, analysiert und in konkrete Anforderungen für unsere Kund:innen übersetzt. Dabei übernimmst du vielfältige Aufgaben: KI-gestützte Analyse und Monitoring internationaler Gesetzgebungsprozesse zu Cybersecurity, Datenschutz und Künstlicher Intelligenz Mapping regulatorischer Anforderungen auf umsetzbare Maßnahmen und Kontrollen, z.B. auf einschlägige Standards wie ISO 27001, TISAX oder NIST Entwicklung von Impact-Assessments und Ableitung möglicher Handlungsempfehlungen für unsere Kund:innen Zusammenarbeit mit internationalen Teams und unseren Global Delivery Services zur Sicherstellung hoher Qualitätsstandards Mitgestaltung und Weiterentwicklung unseres Service-Angebots, z. B. durch Feature-Ideen, Roadmap-Inputs oder Anforderungen für neue Produktfunktionen",Artificial Intelligence (AI);Consulting;Datenschutz;ISO 27001;IT-Security;Monitoring
